#Observation	name	definition	A.1	A.2	B.1	B.2
K00697	otsA	trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]	12	8	7	13
K15510	fgd1	coenzyme F420-dependent glucose-6-phosphate dehydrogenase [EC:1.1.98.2]	6	6	11	6
K09118	K09118	uncharacterized protein	26	25	21	25
K05822	dapH, dapD	tetrahydrodipicolinate N-acetyltransferase [EC:2.3.1.89]	3	1	2	4
K05823	dapL	N-acetyldiaminopimelate deacetylase [EC:3.5.1.47]	9	3	5	6
K05825	LYSN	2-aminoadipate transaminase [EC:2.6.1.-]	7	9	4	4
K00525	E1.17.4.1A, nrdA, nrdE	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	109	108	76	80
K15521	mshA	D-inositol-3-phosphate glycosyltransferase [EC:2.4.1.250]	11	14	14	15
K01839	deoB	phosphopentomutase [EC:5.4.2.7]	20	13	10	13
K03592	pmbA	PmbA protein	7	7	9	8
K15525	mshB	N-acetyl-1-D-myo-inositol-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase [EC:3.5.1.103]	6	5	6	11
K01835	pgm	phosphoglucomutase [EC:5.4.2.2]	17	17	19	17
K01834	PGAM, gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]	17	9	10	18
K02518	infA	translation initiation factor IF-1	15	13	12	7
K00528	fpr	ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]	3	3	8	5
K07042	ybeY, yqfG	probable rRNA maturation factor	7	5	6	5
K04066	priA	primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:3.6.4.-]	23	26	23	29
K04063	osmC, ohr	lipoyl-dependent peroxiredoxin [EC:1.11.1.28]	2	4	7	4
K00798	MMAB, pduO	cob(I)alamin adenosyltransferase [EC:2.5.1.17]	4	7	12	4
K18209	tfrA	fumarate reductase (CoM/CoB) subunit A [EC:1.3.4.1]	7	2	6	3
K00796	folP	dihydropteroate synthase [EC:2.5.1.15]	15	10	14	21
K18204	D2HGDH	D-2-hydroxyglutarate dehydrogenase [EC:1.1.99.39]	1	3	3	4
K09022	ridA, tdcF, RIDA	2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]	13	11	11	9
K09023	rutD	aminoacrylate hydrolase [EC:3.5.1.-]	2	2	2	1
K09020	rutB	ureidoacrylate peracid hydrolase [EC:3.5.1.110]	2	5	1	6
K02909	RP-L31, rpmE	large subunit ribosomal protein L31	13	3	3	10
K02904	RP-L29, rpmC	large subunit ribosomal protein L29	9	7	4	1
K00021	HMGCR	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	1	2	1	6
K02906	RP-L3, MRPL3, rplC	large subunit ribosomal protein L3	28	17	21	23
K02907	RP-L30, MRPL30, rpmD	large subunit ribosomal protein L30	3	7	4	6
K02902	RP-L28, MRPL28, rpmB	large subunit ribosomal protein L28	11	12	11	8
K00231	PPOX, hemY	protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]	1	6	2	2
K00232	E1.3.3.6, ACOX1, ACOX3	acyl-CoA oxidase [EC:1.3.3.6]	1	1	9	5
K00234	SDHA, SDH1	succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]	12	25	11	23
K00235	SDHB, SDH2	succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]	8	8	2	6
K00239	sdhA, frdA	succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]	13	7	7	6
K00022	HADH	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	4	5	4	4
K15633	gpmI	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]	30	36	19	21
K15856	rmd	GDP-4-dehydro-6-deoxy-D-mannose reductase [EC:1.1.1.281]	2	2	1	1
K15855	csxA	exo-1,4-beta-D-glucosaminidase [EC:3.2.1.165]	1	1	3	5
K14855	RSA4, NLE1	ribosome assembly protein 4	4	4	15	11
K21929	udg	uracil-DNA glycosylase [EC:3.2.2.27]	23	17	18	23
K01012	bioB	biotin synthase [EC:2.8.1.6]	18	25	17	13
K01011	TST, MPST, sseA	thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]	14	21	22	18
K22224	acdB	acetate---CoA ligase (ADP-forming) subunit beta [EC:6.2.1.13]	14	18	7	6
K00833	bioA	adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]	16	20	11	19
K00830	AGXT	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	9	17	9	7
K00831	serC, PSAT1	phosphoserine aminotransferase [EC:2.6.1.52]	31	24	13	17
K00839	pucG	(S)-ureidoglycine---glyoxylate transaminase [EC:2.6.1.112]	1	3	1	2
K00549	metE	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]	4	9	4	7
K04441	P38	p38 MAP kinase [EC:2.7.11.24]	3	1	2	2
K01126	E3.1.4.46, glpQ, ugpQ	glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]	2	2	2	2
K08323	rspA, manD	mannonate dehydratase [EC:4.2.1.8]	7	4	12	13
K01129	dgt	dGTPase [EC:3.1.5.1]	18	19	30	11
K08321	lsrF	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase [EC:2.3.1.245]	5	2	2	4
K15987	hppA	K(+)-stimulated pyrophosphate-energized sodium pump	63	87	53	66
K02470	gyrB	DNA gyrase subunit B [EC:5.6.2.2]	92	94	75	66
K02471	bacA	vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein	6	4	8	8
K02472	wecC	UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336]	7	6	6	5
K02473	wbpP	UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine 4-epimerase [EC:5.1.3.7 5.1.3.-]	3	4	1	5
K02474	wbpO	UDP-N-acetyl-D-glucosamine/UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.136 1.1.1.-]	5	6	2	3
K02477	K02477	two-component system, LytTR family, response regulator	4	5	2	3
K02479	K02479	two-component system, NarL family, response regulator	6	2	9	8
K01659	prpC	2-methylcitrate synthase [EC:2.3.3.5]	5	8	1	2
K01658	trpG	anthranilate synthase component II [EC:4.1.3.27]	20	18	11	9
K13581	ccrM	modification methylase [EC:2.1.1.72]	3	10	7	6
K09019	rutE	3-hydroxypropanoate dehydrogenase [EC:1.1.1.-]	4	4	3	7
K13584	ctrA	two-component system, cell cycle response regulator CtrA	4	3	4	8
K01653	E2.2.1.6S, ilvH, ilvN	acetolactate synthase I/III small subunit [EC:2.2.1.6]	10	10	10	6
K01267	DNPEP	aspartyl aminopeptidase [EC:3.4.11.21]	1	2	4	1
K01657	trpE	anthranilate synthase component I [EC:4.1.3.27]	31	50	29	35
K02874	RP-L14, MRPL14, rplN	large subunit ribosomal protein L14	11	22	15	11
K02876	RP-L15, MRPL15, rplO	large subunit ribosomal protein L15	13	11	10	13
K02871	RP-L13, MRPL13, rplM	large subunit ribosomal protein L13	23	19	20	16
K13075	ahlD, aiiA, attM, blcC	N-acyl homoserine lactone hydrolase [EC:3.1.1.81]	2	1	1	3
K02878	RP-L16, MRPL16, rplP	large subunit ribosomal protein L16	17	17	13	13
K02879	RP-L17, MRPL17, rplQ	large subunit ribosomal protein L17	18	12	13	12
K02053	ABC.SP.P	putative spermidine/putrescine transport system permease protein	4	2	4	2
K02056	ABC.SS.A	simple sugar transport system ATP-binding protein [EC:7.5.2.-]	4	12	6	13
K02057	ABC.SS.P	simple sugar transport system permease protein	5	3	5	10
K03501	gidB, rsmG	16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170]	8	8	7	13
K03500	rsmB, sun	16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]	12	10	10	7
K18979	queG	epoxyqueuosine reductase [EC:1.17.99.6]	9	10	11	11
K09748	rimP	ribosome maturation factor RimP	4	6	10	7
K06023	hprK, ptsK	HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]	3	7	2	2
K09747	ebfC	nucleoid-associated protein EbfC	8	5	3	6
K02274	coxA, ctaD	cytochrome c oxidase subunit I [EC:7.1.1.9]	35	24	38	43
K06024	scpB	segregation and condensation protein B	10	12	4	13
K16322	pit	low-affinity inorganic phosphate transporter	1	4	5	7
K13292	lgt, umpA	phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]	13	15	8	17
K02858	ribB, RIB3	3,4-dihydroxy 2-butanone 4-phosphate synthase [EC:4.1.99.12]	2	13	6	4
K03474	pdxJ	pyridoxine 5-phosphate synthase [EC:2.6.99.2]	11	16	7	13
K03470	rnhB	ribonuclease HII [EC:3.1.26.4]	22	15	26	12
K12984	waaE, kdtX	(heptosyl)LPS beta-1,4-glucosyltransferase [EC:2.4.1.-]	1	1	1	1
K03478	chbG	chitin disaccharide deacetylase [EC:3.5.1.105]	2	3	4	2
K19405	mcsB	protein arginine kinase [EC:2.7.14.1]	4	2	3	1
K17759	NAXE, nnrE	NAD(P)H-hydrate epimerase [EC:5.1.99.6]	17	20	17	10
K13853	aroG, aroA	3-deoxy-7-phosphoheptulonate synthase / chorismate mutase [EC:2.5.1.54 5.4.99.5]	2	4	2	4
K12506	ispDF	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]	8	5	4	4
K03090	sigB	RNA polymerase sigma-B factor	1	2	12	3
K03092	rpoN	RNA polymerase sigma-54 factor	26	28	8	10
K13010	per, rfbE	perosamine synthetase [EC:2.6.1.102]	6	3	1	9
K02302	cysG	uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4]	18	27	23	18
K05349	bglX	beta-glucosidase [EC:3.2.1.21]	14	17	28	24
K06118	SQD1, sqdB	UDP-sulfoquinovose synthase [EC:3.13.1.1]	8	4	5	6
K02584	nifA	Nif-specific regulatory protein	11	7	2	5
K14058	ttcA	tRNA 2-thiocytidine biosynthesis protein TtcA	2	7	2	5
K03652	MPG	DNA-3-methyladenine glycosylase [EC:3.2.2.21]	15	14	9	16
K03651	cpdA	3',5'-cyclic-AMP phosphodiesterase [EC:3.1.4.53]	1	2	1	1
K03650	mnmE, trmE, MSS1	tRNA modification GTPase [EC:3.6.-.-]	31	31	14	19
K03657	uvrD, pcrA	DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]	53	41	49	53
K03655	recG	ATP-dependent DNA helicase RecG [EC:3.6.4.12]	39	24	27	41
K03654	recQ	ATP-dependent DNA helicase RecQ [EC:3.6.4.12]	8	3	3	5
K08691	mcl	malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]	17	7	11	3
K11749	rseP	regulator of sigma E protease [EC:3.4.24.-]	12	9	10	10
K11747	kefB	glutathione-regulated potassium-efflux system protein KefB	6	4	1	3
K11745	kefC	glutathione-regulated potassium-efflux system ancillary protein KefC	2	5	1	1
K21673	cdhA	caffeine dehydrogenase subunit alpha [EC:1.17.5.2]	5	4	10	12
K13926	rbbA	ribosome-dependent ATPase	11	11	4	5
K12431	pks2	phthioceranic/hydroxyphthioceranic acid synthase [EC:2.3.1.287]	2	3	4	1
K06200	cstA	carbon starvation protein	18	17	11	19
K06207	typA, bipA	GTP-binding protein	52	59	52	48
K06206	sfsA	sugar fermentation stimulation protein A	2	3	1	2
K06204	dksA	DnaK suppressor protein	3	5	4	2
K21679	hpnC	hydroxysqualene synthase [EC:4.2.3.156]	4	1	2	2
K04478	sgtB	monofunctional glycosyltransferase [EC:2.4.1.129]	1	1	1	2
K18592	GGT1_5, CD224	gamma-glutamyltranspeptidase / glutathione hydrolase / leukotriene-C4 hydrolase [EC:2.3.2.2 3.4.19.13 3.4.19.14]	2	1	1	4
K07082	K07082	UPF0755 protein	4	4	1	3
K00759	APRT, apt	adenine phosphoribosyltransferase [EC:2.4.2.7]	21	23	13	10
K00758	deoA, TYMP	thymidine phosphorylase [EC:2.4.2.4]	12	14	13	6
K07085	K07085	putative transport protein	7	5	1	7
K07089	K07089	uncharacterized protein	1	2	12	9
K00756	pdp	pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]	9	9	8	9
K00754	bshA	L-malate glycosyltransferase [EC:2.4.1.-]	12	8	8	6
K10907	K10907	aminotransferase [EC:2.6.1.-]	4	2	3	2
K09761	rsmE	16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]	3	4	3	3
K10901	BLM, RECQL3, SGS1	bloom syndrome protein [EC:3.6.4.12]	3	1	2	2
K10909	luxQ	two-component system, autoinducer 2 sensor kinase/phosphatase LuxQ [EC:2.7.13.3 3.1.3.-]	3	1	1	3
K11188	PRDX6	peroxiredoxin 6 [EC:1.11.1.7 1.11.1.27 3.1.1.-]	6	15	7	6
K09817	znuC	zinc transport system ATP-binding protein [EC:7.2.2.20]	24	9	11	11
K09810	lolD	lipoprotein-releasing system ATP-binding protein [EC:7.6.2.-]	78	73	47	64
K08602	pepF, pepB	oligoendopeptidase F [EC:3.4.24.-]	2	1	2	1
K10764	metZ	O-succinylhomoserine sulfhydrylase [EC:2.5.1.-]	8	6	6	9
K01938	fhs	formate--tetrahydrofolate ligase [EC:6.3.4.3]	40	46	12	32
K01939	purA, ADSS	adenylosuccinate synthase [EC:6.3.4.4]	49	52	38	32
K01935	bioD	dethiobiotin synthetase [EC:6.3.3.3]	10	1	3	3
K01937	pyrG, CTPS	CTP synthase [EC:6.3.4.2]	86	85	70	69
K01930	FPGS	folylpolyglutamate synthase [EC:6.3.2.17]	5	6	1	2
K01933	purM	phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]	40	37	34	26
K00354	E1.6.99.1	NADPH2 dehydrogenase [EC:1.6.99.1]	11	14	8	7
K07799	mdtA	membrane fusion protein, multidrug efflux system	20	24	26	14
K00688	PYG, glgP	glycogen phosphorylase [EC:2.4.1.1]	64	46	59	57
K07152	SCO1	protein SCO1	2	2	6	2
K00681	ggt	gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]	17	13	18	17
K07407	E3.2.1.22B, galA, rafA	alpha-galactosidase [EC:3.2.1.22]	3	7	4	8
K07404	pgl	6-phosphogluconolactonase [EC:3.1.1.31]	2	3	1	2
K00684	aat	leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]	11	15	12	10
K02401	flhB	flagellar biosynthesis protein FlhB	3	1	4	4
K05830	lysJ, argD	LysW-gamma-L-lysine/LysW-L-ornithine aminotransferase [EC:2.6.1.118 2.6.1.-]	4	4	3	2
K05837	rodA, mrdB	rod shape determining protein RodA	11	5	3	5
K01808	rpiB	ribose 5-phosphate isomerase B [EC:5.3.1.6]	3	6	3	3
K01809	manA, MPI	mannose-6-phosphate isomerase [EC:5.3.1.8]	3	1	3	3
K01803	TPI, tpiA	triosephosphate isomerase (TIM) [EC:5.3.1.1]	31	22	25	15
K01804	araA	L-arabinose isomerase [EC:5.3.1.4]	4	4	5	4
K01805	xylA	xylose isomerase [EC:5.3.1.5]	10	11	10	10
K01807	rpiA	ribose 5-phosphate isomerase A [EC:5.3.1.6]	12	6	12	8
K01246	tag	DNA-3-methyladenine glycosylase I [EC:3.2.2.20]	3	7	13	11
K14261	alaC	alanine-synthesizing transaminase [EC:2.6.1.-]	7	9	4	1
K10011	arnA, pmrI	UDP-4-amino-4-deoxy-L-arabinose formyltransferase / UDP-glucuronic acid dehydrogenase (UDP-4-keto-hexauronic acid decarboxylating) [EC:2.1.2.13 1.1.1.305]	7	8	1	4
K14267	dapC	N-succinyldiaminopimelate aminotransferase [EC:2.6.1.17]	3	1	5	2
K10012	arnC, pmrF	undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [EC:2.4.2.53]	9	7	7	9
K19185	kdhA	6-hydroxypseudooxynicotine dehydrogenase subunit alpha [EC:1.5.99.14]	2	1	4	6
K02919	RP-L36, MRPL36, rpmJ	large subunit ribosomal protein L36	5	6	2	2
K19187	kdhL	6-hydroxypseudooxynicotine dehydrogenase subunit gamma [EC:1.5.99.14]	5	5	2	12
K19181	afr	1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) [EC:1.1.1.292]	8	5	6	1
K02913	RP-L33, MRPL33, rpmG	large subunit ribosomal protein L33	6	5	6	6
K02911	RP-L32, MRPL32, rpmF	large subunit ribosomal protein L32	3	5	5	5
K02916	RP-L35, MRPL35, rpmI	large subunit ribosomal protein L35	7	8	7	9
K02914	RP-L34, MRPL34, rpmH	large subunit ribosomal protein L34	4	3	8	5
K00228	CPOX, hemF	coproporphyrinogen III oxidase [EC:1.3.3.3]	9	10	13	9
K01338	lon	ATP-dependent Lon protease [EC:3.4.21.53]	156	161	130	138
K01069	gloB, gloC, HAGH	hydroxyacylglutathione hydrolase [EC:3.1.2.6]	11	13	4	9
K02687	prmA	ribosomal protein L11 methyltransferase [EC:2.1.1.-]	10	13	8	7
K01790	rfbC, rmlC	dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]	4	9	9	12
K01061	E3.1.1.45	carboxymethylenebutenolidase [EC:3.1.1.45]	9	8	8	3
K08311	nudH	putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]	7	5	4	2
K01796	E5.1.99.4, AMACR, mcr	alpha-methylacyl-CoA racemase [EC:5.1.99.4]	3	6	8	9
K00824	dat	D-alanine transaminase [EC:2.6.1.21]	2	1	2	2
K00826	E2.6.1.42, ilvE	branched-chain amino acid aminotransferase [EC:2.6.1.42]	25	40	24	37
K00821	argD	acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]	42	27	45	30
K00820	glmS, GFPT	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]	81	71	76	68
K00823	puuE	4-aminobutyrate aminotransferase [EC:2.6.1.19]	1	2	2	2
K00822	E2.6.1.18	beta-alanine--pyruvate transaminase [EC:2.6.1.18]	2	1	2	3
K13668	pimB	phosphatidyl-myo-inositol dimannoside synthase [EC:2.4.1.346]	1	1	1	1
K14465	K14465	succinate semialdehyde reductase (NADPH) [EC:1.1.1.-]	1	2	1	1
K03296	TC.HAE1	hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family	7	8	5	5
K01488	add, ADA	adenosine deaminase [EC:3.5.4.4]	13	6	14	11
K01489	cdd, CDA	cytidine deaminase [EC:3.5.4.5]	2	3	3	6
K01486	ade	adenine deaminase [EC:3.5.4.2]	13	18	10	10
K01487	E3.5.4.3, guaD	guanine deaminase [EC:3.5.4.3]	1	2	3	1
K01480	speB	agmatinase [EC:3.5.3.11]	8	4	8	9
K01664	pabA	para-aminobenzoate synthetase component II [EC:2.6.1.85]	3	1	2	2
K20466	mmpL11	heme transporter	1	2	6	4
K01667	tnaA	tryptophanase [EC:4.1.99.1]	17	14	4	5
K01661	menB	naphthoate synthase [EC:4.1.3.36]	3	10	15	15
K01662	dxs	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	43	57	48	39
K01668	E4.1.99.2	tyrosine phenol-lyase [EC:4.1.99.2]	2	2	1	2
K14489	AHK2_3_4	arabidopsis histidine kinase 2/3/4 (cytokinin receptor) [EC:2.7.13.3]	2	6	5	9
K01466	allB	allantoinase [EC:3.5.2.5]	6	9	9	8
K01464	DPYS, dht, hydA	dihydropyrimidinase [EC:3.5.2.2]	17	14	14	11
K01465	URA4, pyrC	dihydroorotase [EC:3.5.2.3]	45	43	44	47
K01462	PDF, def	peptide deformylase [EC:3.5.1.88]	19	22	13	13
K13599	ntrX	two-component system, NtrC family, nitrogen regulation response regulator NtrX	19	17	14	6
K13598	ntrY	two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]	13	13	8	9
K01468	hutI, AMDHD1	imidazolonepropionase [EC:3.5.2.7]	27	20	15	28
K01469	OPLAH, OXP1, oplAH	5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9]	17	22	18	22
K02863	RP-L1, MRPL1, rplA	large subunit ribosomal protein L1	36	23	16	26
K02860	rimM	16S rRNA processing protein RimM	6	4	5	6
K09251	patA	putrescine aminotransferase [EC:2.6.1.82]	10	10	17	8
K09252	FAEB	feruloyl esterase [EC:3.1.1.73]	2	3	1	2
K13069	E2.7.7.65	diguanylate cyclase [EC:2.7.7.65]	7	9	12	15
K02041	phnC	phosphonate transport system ATP-binding protein [EC:7.3.2.2]	8	10	11	8
K02040	pstS	phosphate transport system substrate-binding protein	23	32	23	21
K02045	cysA	sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3]	24	24	31	21
K05540	dusB	tRNA-dihydrouridine synthase B [EC:1.-.-.-]	15	14	6	5
K02047	cysW	sulfate/thiosulfate transport system permease protein	3	8	5	2
K02046	cysU	sulfate/thiosulfate transport system permease protein	9	4	6	1
K02049	ABC.SN.A	NitT/TauT family transport system ATP-binding protein	6	3	1	5
K02048	cysP	sulfate/thiosulfate transport system substrate-binding protein	6	9	7	9
K18968	adrA	diguanylate cyclase [EC:2.7.7.65]	3	1	4	3
K03316	TC.CPA1	monovalent cation:H+ antiporter, CPA1 family	2	3	3	3
K03317	TC.CNT	concentrative nucleoside transporter, CNT family	1	1	3	1
K02342	dnaQ	DNA polymerase III subunit epsilon [EC:2.7.7.7]	1	10	6	4
K03313	nhaA	Na+:H+ antiporter, NhaA family	9	12	5	7
K02262	COX3	cytochrome c oxidase subunit 3	5	4	2	5
K04719	bluB	5,6-dimethylbenzimidazole synthase [EC:1.13.11.79]	4	3	7	4
K17103	CHO1, pssA	CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]	3	5	5	5
K03790	rimJ	[ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267]	3	5	7	5
K03798	ftsH, hflB	cell division protease FtsH [EC:3.4.24.-]	96	119	128	104
K03799	htpX	heat shock protein HtpX [EC:3.4.24.-]	26	33	27	22
K05364	pbpA	penicillin-binding protein A	2	1	3	1
K03402	argR, ahrC	transcriptional regulator of arginine metabolism	7	2	2	2
K03179	ubiA	4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]	1	3	1	1
K03406	mcp	methyl-accepting chemotaxis protein	17	22	8	16
K03407	cheA	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]	24	26	20	17
K03405	chlI, bchI	magnesium chelatase subunit I [EC:6.6.1.1]	3	3	5	7
K13444	SUMF1, FGE	formylglycine-generating enzyme [EC:1.8.3.7]	4	1	2	7
K12539	prsD	ATP-binding cassette, subfamily C, bacterial PrsD	3	1	1	3
K17725	ETHE1	sulfur dioxygenase [EC:1.13.11.18]	2	3	3	4
K02314	dnaB	replicative DNA helicase [EC:3.6.4.12]	38	34	46	34
K02316	dnaG	DNA primase [EC:2.7.7.101]	31	27	26	33
K00052	leuB, IMDH	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	63	56	61	45
K02313	dnaA	chromosomal replication initiator protein	40	51	32	52
K07670	mtrA	two-component system, OmpR family, response regulator MtrA	1	7	7	5
K06168	miaB	tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]	44	59	50	56
K00721	DPM1	dolichol-phosphate mannosyltransferase [EC:2.4.1.83]	5	2	3	6
K02319	pol	DNA polymerase, archaea type [EC:2.7.7.7]	5	4	1	1
K09482	gatD	glutamyl-tRNA(Gln) amidotransferase subunit D [EC:6.3.5.7]	3	1	1	1
K00019	E1.1.1.30, bdh	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	8	13	18	8
K02400	flhA	flagellar biosynthesis protein FlhA	20	19	23	6
K08681	pdxT, pdx2	pyridoxal 5'-phosphate synthase pdxT subunit [EC:4.3.3.6]	14	12	12	8
K12405	HSD17B4	(3R)-3-hydroxyacyl-CoA dehydrogenase / 3a,7a,12a-trihydroxy-5b-cholest-24-enoyl-CoA hydratase / enoyl-CoA hydratase 2 [EC:1.1.1.- 4.2.1.107 4.2.1.119]	11	9	4	8
K08683	HSD17B10	3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA dehydrogenase [EC:1.1.1.35 1.1.1.178]	5	2	10	8
K11755	hisIE	phosphoribosyl-AMP cyclohydrolase / phosphoribosyl-ATP pyrophosphohydrolase [EC:3.5.4.19 3.6.1.31]	3	1	2	3
K11753	ribF	riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]	4	3	1	2
K11752	ribD	diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]	12	7	8	23
K07406	melA	alpha-galactosidase [EC:3.2.1.22]	3	3	4	2
K05366	mrcA	penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4]	32	38	38	31
K21684	sdgC	salicyloyl-CoA 5-hydroxylase [EC:1.14.13.209]	2	4	4	5
K07402	xdhC	xanthine dehydrogenase accessory factor	2	5	6	2
K09791	K09791	uncharacterized protein	1	2	1	2
K11991	tadA	tRNA(adenine34) deaminase [EC:3.5.4.33]	6	7	16	8
K11996	MOCS3, UBA4	adenylyltransferase and sulfurtransferase [EC:2.7.7.80 2.8.1.11]	21	23	13	19
K07560	dtd, DTD	D-aminoacyl-tRNA deacylase [EC:3.1.1.96]	10	7	14	13
K07566	tsaC, rimN, SUA5	L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]	7	6	6	8
K07568	queA	S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]	25	27	31	28
K10979	ku	DNA end-binding protein Ku	12	24	42	29
K19231	bmaC	fibronectin-binding autotransporter adhesin	3	7	4	2
K09862	K09862	uncharacterized protein	4	4	4	4
K10716	kch, trkA, mthK, pch	voltage-gated potassium channel	5	7	8	2
K08166	mmr	MFS transporter, DHA2 family, methylenomycin A resistance protein	2	2	8	2
K11175	purN	phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]	2	8	3	2
K01929	murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	9	9	6	4
K01928	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]	31	32	30	27
K11173	ADHFE1	hydroxyacid-oxoacid transhydrogenase [EC:1.1.99.24]	1	5	2	4
K01923	purC	phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]	37	27	26	33
K01921	ddl	D-alanine-D-alanine ligase [EC:6.3.2.4]	18	36	25	25
K01920	gshB	glutathione synthase [EC:6.3.2.3]	11	11	6	5
K01926	rex	redox-sensing transcriptional repressor	8	7	3	9
K01925	murD	UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]	25	33	20	27
K01924	murC	UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	40	49	31	35
K00322	sthA, udhA	NAD(P) transhydrogenase [EC:1.6.1.1]	10	13	9	16
K00323	NNT	H+-translocating NAD(P) transhydrogenase [EC:1.6.1.2 7.1.1.1]	1	1	4	1
K00320	mer	5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]	2	6	2	1
K07789	mdtC	multidrug efflux pump	103	110	91	95
K07788	mdtB	multidrug efflux pump	92	99	90	97
